Date,Open,High,Low,Close,Adj Close,Volume
06/28/2011,128.449997,129.630005,128.270004,129.610001,129.610001,165556300
06/29/2011,130.199997,130.929993,129.630005,130.720001,130.720001,244295500
06/30/2011,131.139999,132.179993,130.710007,131.970001,131.970001,223322700
07/01/2011,132.089996,134.100006,131.779999,133.919998,133.919998,202385700
07/05/2011,133.779999,134.080002,133.389999,133.809998,133.809998,165936000
07/06/2011,133.490005,134.139999,133.110001,133.970001,133.970001,143331600
07/07/2011,135.160004,135.699997,134.880005,135.360001,135.360001,170464200
07/08/2011,133.830002,135.360001,133.389999,134.399994,134.399994,194100500
07/11/2011,132.75,133.179993,131.660004,131.970001,131.970001,195918600
07/12/2011,131.690002,132.779999,131.360001,131.399994,131.399994,214675700
07/13/2011,132.089996,133.220001,131.520004,131.839996,131.839996,204062600
07/14/2011,132.169998,132.779999,130.679993,130.929993,130.929993,226111800
07/15/2011,131.660004,131.869995,130.770004,131.690002,131.690002,220012800
07/18/2011,131.080002,131.279999,129.630005,130.610001,130.610001,196872100
07/19/2011,131.339996,132.889999,131.309998,132.729996,132.729996,166554900
07/20/2011,133.070007,133.149994,132.419998,132.649994,132.649994,137145400
07/21/2011,133.399994,134.820007,132.669998,134.490005,134.490005,245246300
07/22/2011,134.520004,134.720001,133.759995,134.580002,134.580002,126019400
07/25/2011,133.300003,134.490005,133.160004,133.830002,133.830002,136653800
07/26/2011,133.740005,133.960007,133.029999,133.330002,133.330002,131278200
07/27/2011,132.589996,132.630005,130.429993,130.600006,130.600006,249020100
07/28/2011,130.600006,131.770004,130.009995,130.220001,130.220001,207939900
07/29/2011,128.910004,130.550003,127.970001,129.330002,129.330002,307038400
08/01/2011,130.839996,130.960007,127.529999,128.779999,128.779999,325790900
08/02/2011,127.809998,128.5,125.489998,125.489998,125.489998,346653800
08/03/2011,125.660004,126.309998,123.529999,126.169998,126.169998,370830800
08/04/2011,124.419998,124.620003,120.059998,120.260002,120.260002,520721800
08/05/2011,121.760002,122.07,116.860001,120.080002,120.080002,655619200
08/08/2011,116.910004,120.120003,112.019997,112.260002,112.260002,702263900
08/09/2011,114.07,117.639999,110.269997,117.480003,117.480003,717828700
08/10/2011,115.260002,116.279999,111.949997,112.290001,112.290001,662607400
08/11/2011,113.260002,118.919998,112.32,117.330002,117.330002,487979700
08/12/2011,118.400002,119.209999,117.279999,118.120003,118.120003,313731600
08/15/2011,119.190002,120.739998,119,120.620003,120.620003,258810600
08/16/2011,119.470001,120.690002,118.309998,119.589996,119.589996,294095200
08/17/2011,120.25,121.199997,118.720001,119.669998,119.669998,238201100
